SOC,AIOE
17-2141.01,0.8255963661218141
17-2141.02,0.8915684104716345
17-2151.00,1.2562448353435582
17-2161.00,1.2368504153023867
17-2171.00,1.2475415393412286
17-2199.03,1.2779500998791824
17-2199.05,0.8959054155763065
17-2199.06,0.6541838014453428
17-2199.07,0.7882576855448985
17-2199.08,0.403630521821241
17-2199.09,0.6314273223207536
17-2199.10,0.990560595098131
17-2199.11,0.42635454248385546
17-3011.00,0.5463691615858944
17-3012.00,0.7759965424588241
17-3013.00,0.7467171411088352
17-3021.00,0.2932456464208134
17-3022.00,0.8386383304000374
17-3023.00,0.14718462276569041
17-3024.00,-0.38241656684311587
17-3024.01,-0.3880986218292488
17-3025.00,-0.0564920970490134
17-3026.00,0.5145613665400737
17-3026.01,0.1507484751218018
17-3027.00,-0.13773034680452675
17-3027.01,-0.31048675480495747
17-3029.01,-0.25745323627495276
17-3029.08,-0.12412771245194032
17-3031.00,-0.255630110883601
19-1011.00,0.8515850505893694
19-1012.00,0.6068463146592316
19-1013.00,0.4926832402408863
19-1021.00,0.8312131215376617
19-1022.00,0.6031751244506536
19-1023.00,0.23554333669324173
19-1029.01,1.1945625123970394
19-1029.02,0.7357621288245347
19-1029.03,0.9482071278888622
19-1029.04,0.6975219590826592
19-1031.00,-0.07212197465180499
19-1031.02,0.06547077461097131
19-1031.03,0.045799836054489035
19-1032.00,-0.1784404850144136
19-1041.00,1.3538033894097934
19-1042.00,1.066884563925225
19-2011.00,1.233905265366344
19-2012.00,1.269877597832301
19-2021.00,1.3743690975390916
19-2031.00,0.55002795066334
19-2032.00,1.1289816613328132
19-2041.00,1.0491144082877204
19-2041.01,1.4056516223390412
19-2041.02,0.5833370972325385
19-2041.03,1.317259559340737
19-2042.00,0.7535772723410831
19-2043.00,0.5446441627992081
19-2099.01,1.0623939044364359
19-3011.00,1.3048791758888318
19-3011.01,1.295165094767305
19-3022.00,1.4096937817690525
19-3032.00,1.362450473666209
19-3033.00,1.338171471955062
19-3034.00,1.2862357851063302
19-3039.02,1.1259617730164528
19-3039.03,1.1284278969233745
19-3041.00,1.323153666801917
19-3051.00,1.1489946192109544
19-3091.00,1.0106571234139619
19-3092.00,1.339854496286321
19-3093.00,1.1838804722285154
19-3094.00,1.3235375905334814
19-3099.01,1.2714488780375865
19-4012.00,-0.5011398205329776
19-4012.01,0.11053908763618922
19-4013.00,0.3711466254501385
19-4021.00,0.20288215567249332
19-4031.00,-0.026561844002812886
19-4042.00,-0.0012369262470081487
19-4043.00,0.017856388844311944
19-4051.00,-0.1854253269674261
19-4051.02,0.16520471512031523
19-4061.00,1.1518958603430007
19-4071.00,-0.7727476275783224
19-4092.00,0.05764526206636004
19-4099.01,0.002908025481359057
19-4099.03,0.8333873440481492
19-5011.00,0.7064321240250304
19-5012.00,0.2619022567584564
21-1011.00,0.6968357388860363
21-1012.00,1.321753213546424
21-1013.00,1.3760502197427316
21-1014.00,1.2981081155091847
21-1015.00,1.0172823619078752
21-1021.00,0.6811914871263978
21-1022.00,0.9529247990334558
21-1023.00,1.1089880507265806
21-1091.00,0.5960777927068114
21-1092.00,0.13364397462679134
21-1093.00,0.7040484605627692
21-1094.00,-0.0632242294411926
21-2011.00,1.3169981059615177
21-2021.00,1.140300357801912
23-1011.00,1.3217419158698878
23-1012.00,1.3070863972664746
23-1021.00,1.3437027754501902
23-1022.00,1.2971711065956215
23-1023.00,1.506659023118387
23-2011.00,1.1209600525773817
23-2093.00,1.1887548489517177
25-1011.00,1.2586184860736835
25-1021.00,1.1865670997932334
25-1022.00,1.247978171583122
25-1031.00,1.1304054374580372
25-1032.00,1.260473928139569
25-1041.00,0.6595763466713019
25-1042.00,1.1360415811328113
25-1043.00,0.9104358861448106
25-1051.00,1.215145285299162
25-1052.00,1.243115952142702
25-1053.00,1.2567640896221284
25-1054.00,0.9512768071753294
25-1061.00,1.194379275999607
25-1062.00,1.2176414324227665
25-1063.00,1.228113232852316
25-1064.00,1.2279296846007892
25-1065.00,1.2777471893129972
25-1066.00,1.2427822682853238
25-1067.00,1.2584444964297306
25-1071.00,0.8309128782200274
25-1072.00,0.42023552759265836
25-1081.00,1.101069941284282
25-1082.00,1.2957959304801971
25-1111.00,1.2995268786257281
25-1112.00,1.2657217808703882
25-1113.00,1.2571514124712162
25-1121.00,0.6631859776251997
25-1122.00,1.2566566537896846
25-1123.00,1.3275351315242816
25-1124.00,1.2432407860162136
25-1125.00,1.347340545843843
25-1126.00,1.2728481841000219
25-1192.00,1.1199194355211923
25-1193.00,1.072779195093364
25-1194.00,0.0627949101453141
25-2011.00,-0.06978073650674818
25-2012.00,0.26641666982320217
25-2021.00,0.8129775025163025
25-2022.00,1.2027852810311723
25-2023.00,0.4231202344634416
25-2031.00,1.1170470851261018
25-2032.00,0.29998780688186255
25-2051.00,0.2771233624829759
25-2056.00,0.6624148787270379
25-2057.00,1.1637928519401177
25-2058.00,1.0007523700687762
25-2059.01,-0.704589113773993
25-3011.00,1.2582433061758564
25-3021.00,0.4295920713782472
25-3031.00,0.977987656861526
25-3041.00,1.3148069357740328
25-4011.00,0.607945271391798
25-4012.00,0.641460704726019
25-4013.00,-0.19245507988770635
25-4022.00,0.6390708204955191
25-4031.00,-0.06234261656942696
25-9021.00,0.7243196041937822
25-9031.00,1.2641879840632628
25-9042.00,0.09350669570353042
25-9043.00,0.41854682673407834
25-9044.00,1.0188928614638175
27-1011.00,0.9032517042089035
27-1012.00,-0.9646161941936396
