Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Registered Naval Architect,Manufacturing,Building of ships and boats,Higher Education,Yes,No,N,N,28.0,87.0,43.0,94.0,17-2199,0.5129253723597855,0.6382638888888889,0.3642126341929727,Augmented
Registered Nurse,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health,25761.0,32203.0,29349.0,34534.0,29-1171 ,0.2700903207777707,0.7450000000000001,0.1629544935359216,Augmented
Registered Radiologic Technologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,385.0,1237.0,2450.0,4257.0,29-2035 ,-0.1207078752623671,0.6288888888888889,-0.086842610258203,Protected
Religious Education Teacher,Education,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2031,1.1884950168906403,0.7011111111111111,0.7692203859319978,Augmented
Religious Outreach Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,21-2099,0.7806366196871929,0.6655492424242423,0.5330062647034659,Augmented
Religious Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,25-1199,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Religious Studies Teacher,Education,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,21-2021 ,1.2114588767178207,0.6294444444444444,0.8709043258182557,Augmented
Research and Development Officer (Agriculture),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,25-9021,0.8006554663832743,0.706111111111111,0.5141987328550363,Augmented
Research Assistant (Physical Sciences),"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,17-2081,1.3942922371302795,0.6652777777777777,0.9523790586398216,Augmented
Research Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,43-4111 ,1.25788885874446,0.5880555555555556,0.9563449462176632,Displaced
Reservations Clerk,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,43-4171,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
Resort Marketing and Events Officer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,Tourism,Tourism,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Respiratory Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Respite Services Home Care Coordinator,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,29-9092 ,1.5056696701614034,0.6302777777777777,1.0811544714908967,Augmented
Restaurant Crew,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,35-3041 ,-0.7755887983642628,0.5930555555555556,-0.5857849840978974,Isolated
Rewards Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,25-9031,1.333804583640498,0.6875,0.8814225290224291,Augmented
RF Systems Engineer,Manufacturing,Manufacture of communication equipment,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,17-2072,0.6853776260103156,0.5906944444444444,0.51926874303976,Displaced
Rice Farmer,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Rice Land Preparation Machinery Operator (Hand Tractor),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,45-4022,-1.012423592144586,0.5769444444444445,-0.7809723098293099,Isolated
Rice Production Assistant,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Ride Operator,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N,,,,,49-9051,-1.2416423994528298,0.7380555555555556,-0.7577467643327409,Protected
Rigger,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,49-9096,-1.2235422092033756,0.7047222222222222,-0.7874853607567281,Protected
Rigid On-Highway Dump Truck Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,53-3032,-1.100644052209415,0.6174999999999999,-0.8043873614897142,Protected
Risk Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services,,,,,13-2061,1.4984326197157478,0.5613888888888888,1.1791832254596428,Displaced
Risk Management Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,Financial Services,,,,,41-3021,1.3203041108213494,0.5938888888888889,0.9960961013863292,Displaced
Road Roller [Compactor] Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,47-5022,-1.15238606969144,0.6227777777777778,-0.836120115009456,Protected
Rolling Stock Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Room Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,31-1014 ,-0.4413828025834359,0.5907306763285024,-0.3343927839934498,Isolated
Rough And Finishing Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,47-2031,-1.1755193089724034,0.6755555555555556,-0.7908632684253225,Protected
Rough Mason,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,47-4091 ,-0.9916104341060964,0.6286111111111111,-0.7136840652135822,Protected
Route Planner,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,43-5032,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
Rural Development Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Rural Health Field Researcher,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,Health,,,,,21-1094 ,0.0229134919313405,0.6677777777777778,0.0155939042310511,Augmented
Safety Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,53-6051,0.195081275698469,0.6889814814814814,0.1286272003934072,Augmented
Safety Officer (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,Tourism,Tourism,,,,,53-6051,0.195081275698469,0.6889814814814814,0.1286272003934072,Augmented
Sailing Coach,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,39-9031,-2.032514091161482,0.6602777777777779,-1.3984826121686085,Protected
Sales Assistant (High School),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N,,,,,41-2031,0.072872365795889,0.5533333333333333,0.0579335308077317,Displaced
Sales Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,Yes,N,N,,,,,43-6014,1.0792977885038806,0.4922222222222221,0.9239988289358224,Displaced
Salt Contractor,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,N,,,,,45-3031,-1.3653770485609695,0.6044444444444445,-1.01568881556841,Protected
Sandblasting Crew,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,47-3019,-1.15238606969144,0.6467751736111111,-0.8084658503422513,Protected
Sanitary Engineer,Manufacturing,Manufacture of medical and dental instruments and supplies,Higher Education,No,No,N,N,,,,,17-2081,1.3942922371302795,0.6652777777777777,0.9523790586398216,Augmented
Sanitary Landfill Facility (SLF) Spotter,"Water Supply; Sewerage, Waste Management and Remediation",Waste treatment and disposal,Not Higher Education,No,No,Tourism,Tourism,,,,,47-4061,-1.4057761657025905,0.7016666666666668,-0.9090685871543418,Protected
Sanitation and Disinfection Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health,4083.0,6456.0,3845.0,6600.0,53-6051,0.195081275698469,0.6889814814814814,0.1286272003934072,Augmented
Sanitation Inspector,Human Health and Social Work Activities,Human health activities,Higher Education,No,No,Y,Health,,,,,53-6051,0.195081275698469,0.6889814814814814,0.1286272003934072,Augmented
SCADA Systems Operator,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-9162,-0.0655765103781631,0.5177777777777778,-0.0544649350085299,Isolated
Scaffolder,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,49-9095,-1.420720591823914,0.6513888888888888,-0.9901633235795004,Protected
Science Content Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Science Laboratory Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,29-2012,-0.3935851657204582,0.5456944444444444,-0.3159067600970178,Isolated
Science Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2031,1.1884950168906403,0.7011111111111111,0.7692203859319978,Augmented
Screed Operator (Heavy Equipment),Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,47-5022,-1.15238606969144,0.6227777777777778,-0.836120115009456,Protected
Scriptwriter,"Arts, Entertainment and Recreation","Creative, Arts and Entertainment Activities",Higher Education,No,No,N,N,,,,,27-3043,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Sculptor Apprentice,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-1013,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Sea Patrol (Bantay Dagat),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N,,,,,33-9093 ,-0.5182191975946915,0.5377777777777778,-0.4200454496059194,Isolated
Seafarers,Transportation and Storage,Sea and coastal water transport,Higher Education,No,No,Tourism,Tourism,,,,,53-5021,-0.7138985758488017,0.7611111111111111,-0.419217108151213,Protected
Seamer Operator,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,51-9111,-0.9874640384182614,0.5591666666666667,-0.7792737036517446,Isolated
Seaweed Nursery Operator,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,45-2092,-2.0896117392961986,0.4991666666666667,-1.7744286352856886,Isolated
Seaweed Processor,Manufacturing,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N,,,,,51-9199,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Security Analyst Associate,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Security Guard,Administrative and Support Service Activities,Private security activities,Not Higher Education,No,No,N,N,,,,,33-9093 ,-0.5182191975946915,0.5377777777777778,-0.4200454496059194,Isolated
Security Operations Center (SOC) Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,N,N,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Security Operations Staff,Administrative and Support Service Activities,Private security activities,Higher Education,No,No,N,N,,,,,33-9093 ,-0.5182191975946915,0.5377777777777778,-0.4200454496059194,Isolated
Semiconductor Machine Technician,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,17-3023,0.2307035718843949,0.6161111111111112,0.1689262820797958,Augmented
Semiconductor Operator,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-9161,-0.6656689492869381,0.4597222222222222,-0.591520824658032,Isolated
Semiconductor Production Operator,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,53-7011,-0.7654642333588086,0.5313888888888889,-0.6253417528634045,Isolated
Seminary Support Staff,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,21-2099,0.7806366196871929,0.6655492424242423,0.5330062647034659,Augmented
Senior Caregiver,Human Health and Social Work Activities,Residential care activities for the elderly and disabled,Not Higher Education,No,No,Y,Health,,,,,31-1014 ,-0.4413828025834359,0.5907306763285024,-0.3343927839934498,Isolated
Service Vehicle Drivers,Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,53-3053,-0.5689450320871856,0.6258333333333334,-0.4110627856829916,Protected
Session Guitarist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-2042,-0.0481137107809598,0.5141666666666667,-0.0401348537431173,Isolated
Shipper and Receiver,Transportation and Storage,Postal activities,Higher Education,No,No,Tourism,Tourism,,,,,43-5032,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
Shoe Cutter,Manufacturing,Manufacture of footwear,Not Higher Education,No,No,N,N,,,,,51-6041,-0.8841484845166345,0.4858333333333333,-0.7625780678955973,Isolated
Sign Language Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,N,,,,,27-3091,1.0640015601650763,0.6288888888888889,0.7654900113409855,Augmented
Site Accounting Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,Tourism,Tourism,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Site Engineering Assistant (Licensed Civil Engineer),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,17-2051 ,1.303068832130924,0.6426851851851851,0.9195081083027568,Augmented
Site HR Officers,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,43-4161 ,1.3320301230028002,0.5302777777777777,1.089674642289791,Displaced
Site Monitoring Specialist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,15-1244,0.7714307163971404,0.5388888888888889,0.6244303076614632,Displaced
Skid Loader Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,47-5022,-1.15238606969144,0.6227777777777778,-0.836120115009456,Protected
Slitter,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,51-9195,-1.1230266200713226,0.5273611111111112,-0.921973659894665,Isolated
Social Enterprise Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Social Listening Research Assistant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,N,N,,,,,27-3041 ,1.1083010062005718,0.6130555555555556,0.8149091009480316,Augmented
Social Media Content Creator,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,Y,Digital Technology,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Social Media Manager,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Social Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,13-1199,1.4540568100648037,0.605625,1.0799401099752135,Augmented
Social Welfare Assistant (Healthcare),Human Health and Social Work Activities,Social work activities without accommodation for the elderly and disabled,Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Social Work Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,21-1099,0.7806366196871929,0.6655492424242423,0.5330062647034659,Augmented
Software Quality Assurance Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Soil And Nutrient Technologist,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N,,,,,25-9021,0.8006554663832743,0.706111111111111,0.5141987328550363,Augmented
Soil and Plant Lab Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Soil and Plant Scientists,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N,,,,,25-9021,0.8006554663832743,0.706111111111111,0.5141987328550363,Augmented
Solar Night Light And Post Lamp Assembler,Manufacturing,Manufacture of electric lighting equipment,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-9194,-0.6501212176431842,0.5002777777777777,-0.5513389104068449,Isolated
Sonar Fishing Operator,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,N,,,,,45-3031,-1.3653770485609695,0.6044444444444445,-1.01568881556841,Protected
Sonar Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Sound Technician,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Specialized Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,47-2031,-1.1755193089724034,0.6755555555555556,-0.7908632684253225,Protected
SPED Teacher,Education,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2059 ,-0.6104688928723081,0.7791666666666668,-0.3474585448598219,Protected
SPED Teacher (Primary),Education,Pre-primary education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2059 ,-0.6104688928723081,0.7791666666666668,-0.3474585448598219,Protected
SPED Teacher (Secondary),Education,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2059 ,-0.6104688928723081,0.7791666666666668,-0.3474585448598219,Protected
Speech Therapy Aide,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,4083.0,6456.0,3845.0,6600.0,29-1181,0.7001210177816167,0.695,0.4574123982839896,Augmented
Speed Limitation Device Installer,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Sports Coach,Education,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,27-2022,0.1022346308216465,0.7144444444444443,0.0648053965374992,Augmented
Sports Events Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N,,,,,13-1121,0.3580352965169154,0.6833333333333332,0.2380934721837488,Augmented
Sports Program Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N,,,,,39-9031,-2.032514091161482,0.6602777777777779,-1.3984826121686085,Protected
Spotters,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,47-3019,-1.15238606969144,0.6467751736111111,-0.8084658503422513,Protected
Stage Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-2011,0.1441760056865995,0.5872222222222222,0.1097339598836896,Displaced
Stamping Machine Operators,Construction,Construction of buildings,Higher Education,Yes,No,Tourism,Tourism,2133.0,4237.0,1144.0,3485.0,51-4199,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Startup Operations Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Startup Program Intern,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Statistical Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,Financial Services,,,,,43-9111,1.2970972393926237,0.538611111111111,1.0502884591193051,Displaced
Steelman,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,51-2041,-1.1411657620028337,0.5663888888888888,-0.892328227788327,Isolated
Store Display Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale of cultural and recreation goods in specialized stores,Higher Education,No,Yes,N,N,,,,,41-9011 ,0.1089211280002534,0.5322222222222223,0.0888917427957623,Displaced
Store Keeper,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N,,,,,11-1021,1.0159515689880594,0.7358333333333333,0.6222703360051864,Augmented
Store Supervisor Trainee,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,No,N,N,,,,,41-1011,0.005064176078184,0.5905555555555555,0.0038375200948016,Displaced
Storyboard Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,27-4032 ,0.9134893505999866,0.5563888888888889,0.7234328162668228,Displaced
Strategic Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Strategic Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,15-1134 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Structural Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,17-2051 ,1.303068832130924,0.6426851851851851,0.9195081083027568,Augmented
Structural Steel Erector,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,51-2041,-1.1411657620028337,0.5663888888888888,-0.892328227788327,Isolated
Sugarcane Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Sugarcane Planter,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,51-9193,-0.9694564085988252,0.5850000000000001,-0.7400183918971032,Isolated
Supply Chain Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,43-5111,-0.1990509675516624,0.5297222222222222,-0.1629453337152081,Isolated
Supply Chain Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,13-1074 ,-0.4471441743981977,0.688888888888889,-0.2948667416725892,Protected
Surf Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,39-9031,-2.032514091161482,0.6602777777777779,-1.3984826121686085,Protected
Surveillance Officer (CCTV Operation),Administrative and Support Service Activities,Security systems service activities,Higher Education,No,No,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Surveying Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,6180.0,18582.0,6835.0,18436.0,47-4011,0.3600520511318562,0.6393055555555555,0.2552869056983508,Augmented
Sustainability Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,19-2041 ,1.121407837793284,0.6320138888888889,0.8032862393637309,Augmented
Swine Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,31-9096,-0.8265822627679962,0.5972222222222222,-0.6208551218124061,Protected
Swine Raiser/Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,45-2093,-1.1166346396376288,0.5847222222222223,-0.8526746178788449,Isolated
System Formworks Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,47-4091,-0.9916104341060964,0.6286111111111111,-0.7136840652135822,Protected
Systems Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Tailor,Manufacturing,Custom tailoring and dressmaking,Not Higher Education,No,No,N,N,,,,,51-6052,-0.5547315587881533,0.5277777777777778,-0.4551880624056124,Isolated
Talent Acquisition and Development Officer (Healthcare),Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,13-1151 ,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
Talent Acquisition Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,13-1199,1.4540568100648037,0.605625,1.0799401099752135,Augmented
Talent Attraction and Management Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Talent Management Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Tappers,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Taro Processor,Manufacturing,Processing and preserving of fruits and vegetables,Not Higher Education,No,No,N,N,,,,,51-9193,-0.9694564085988252,0.5850000000000001,-0.7400183918971032,Isolated
Tax Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Taxi Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,53-3054,-0.7138985758488017,0.6217877492877494,-0.5186798577393783,Protected
Technical Communicator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,27-3043,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Technical Project Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Technical Support Specialist,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Technology Operations Assistant,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,Digital Technology,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
