Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Book Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,Y,Financial Services,,,,,43-3031,1.0204933974998105,0.5122222222222222,0.8532458684651194,Displaced
Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,Tourism,Tourism,,,,,53-3032,-1.100644052209415,0.6174999999999999,-0.8043873614897142,Protected
Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,33-9093 ,-0.5182191975946915,0.5377777777777778,-0.4200454496059194,Isolated
Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,43-6014,1.0792977885038806,0.4922222222222221,0.9239988289358224,Displaced
Brand Designer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,27-1029,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,39-3099 ,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
Broadcast Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Broadcast Scriptwriter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,N,,,,,27-3043,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Building Design Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,17-1011,1.0614157123926595,0.6747222222222223,0.7149814173756108,Augmented
Building-Wiring Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,47-2231,-0.9863345860553324,0.7455555555555556,-0.5945405699277976,Protected
Bulldozer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,47-5022,-1.15238606969144,0.6227777777777778,-0.836120115009456,Protected
Business Development Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,13-1151 ,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
Business Innovation Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Business Intelligence Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,N,N,,,,,13-1111,1.369842507381068,0.6147222222222223,1.0049316838870557,Augmented
Business News Research Assistant,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,N,,,,,27-3041 ,1.1083010062005718,0.6130555555555556,0.8149091009480316,Augmented
Business Support Coordinator,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Butcher,Manufacturing,Processing and preserving of meat,Not Higher Education,No,No,N,N,,,,,51-3091 ,-0.7688751902862945,0.4733333333333334,-0.6727657915005076,Isolated
Butler,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,Tourism,Tourism,,,,,39-9099 ,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
Butterfly Breeder,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,45-2021,-1.0528327163871605,0.5588888888888889,-0.8311529388811973,Isolated
