,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (CLIENTS WITH SPECIAL NEEDS) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (CLIENTS WITH SPECIAL NEEDS) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (ELDERLY) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (ELDERLY) NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (GRADE SCHOOLER TO ADOLESCENT) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (GRADE SCHOOLER TO ADOLESCENT) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING (NEWBORN TO PRE-SCHOOLER) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CAREGIVER ASSISTANTS,CAREGIVING (NEWBORN TO PRE-SCHOOLER) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|CODERS|MEDICAL CODING AND CLAIMS PROCESSING NC III|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,CODERS,MEDICAL CODING AND CLAIMS PROCESSING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE|DENTAL ASSISTANT COURSE|NEW AND EMERGING",REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE",DENTAL ASSISTANT COURSE,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|MEDICAL AUXILLIARY SUPPORT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,MEDICAL AUXILLIARY SUPPORT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|MEDICAL TRANSCRIPTION EDITOR|MEDICAL TRANSCRIPTION NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,MEDICAL TRANSCRIPTION EDITOR,MEDICAL TRANSCRIPTION NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|NURSES HEALTHCARE SERVICE WORKER|HEALTH CARE SERVICES NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,NURSES HEALTHCARE SERVICE WORKER,HEALTH CARE SERVICES NC II,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,3,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|PHARMACISTS PHARMACY ASSISTANT|PHARMACY SERVICES NC III|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,PHARMACISTS PHARMACY ASSISTANT,PHARMACY SERVICES NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH INFORMATION MANAGEMENT SERVICES|CONTACT TRACER|CONTACT TRACING LEVEL II|WITH CS,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH INFORMATION MANAGEMENT SERVICES,CONTACT TRACER,CONTACT TRACING LEVEL II,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|BARANGAY HEALTH WORKERS|BARANGAY HEALTH SERVICES NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,BARANGAY HEALTH WORKERS,BARANGAY HEALTH SERVICES NC II,WITH TR,,7,0,0,7,7,1,0,0,,1,2,0,3,3,1,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|CAREGIVERS|CAREGIVING NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,CAREGIVERS,CAREGIVING NC II,WITH TR,,7,1,0,8,8,0,0,0,,1,3,0,4,4,1,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|HEALTHCARE WORKER|HEALTH CARE SERVICES NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,HEALTHCARE WORKER,HEALTH CARE SERVICES NC II,WITH TR,,7,1,0,8,8,0,0,0,,1,3,0,4,4,1,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|MASSEURS, HILOT WORKERS|MASSAGE THERAPIST|MASSAGE THERAPY NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,"MASSEURS, HILOT WORKERS",MASSAGE THERAPIST,MASSAGE THERAPY NC II,WITH TR,,7,1,0,8,8,4,0,0,,1,3,0,4,4,2,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|ADMINISTRATIVE ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",ADMINISTRATIVE ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|CAREGIVER ASSISTANTS|CAREGIVING NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",CAREGIVER ASSISTANTS,CAREGIVING NC II,WITH TR,,2,0,0,2,2,6,0,0,,2,0,0,2,2,6,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE|DENTAL HYGIENE LEVEL IV|WITH CS",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES","DENTAL ASSISTANT
DENTAL HYGIENIST
DENTAL AIDE",DENTAL HYGIENE LEVEL IV,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|DENTAL EQUIPMENT
LABORATORY TECHNICIAN|DENTAL LABORATORY TECHNOLOGY SERVICES (FIXED DENTURES/RESTORATIONS) NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES","DENTAL EQUIPMENT
LABORATORY TECHNICIAN",DENTAL LABORATORY TECHNOLOGY SERVICES (FIXED DENTURES/RESTORATIONS) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|DENTAL EQUIPMENT
LABORATORY TECHNICIAN|DENTAL LABORATORY TECHNOLOGY SERVICES (REMOVABLE DENTURES/APPLIANCES) NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES","DENTAL EQUIPMENT
LABORATORY TECHNICIAN",DENTAL LABORATORY TECHNOLOGY SERVICES (REMOVABLE DENTURES/APPLIANCES) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|MEDICAL RECEPTIONIST|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",MEDICAL RECEPTIONIST,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES|MEDICAL SECRETARY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING",REGION_VII,HUMAN HEALTH / HEALTH CARE,"PRIMARY CARE FACILITIES, HEALTH CARE FACILITIES",MEDICAL SECRETARY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES|BARANGAY NUTRITION SCHOLARS|COMMUNITY NUTRITION SERVICES NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,PRIMARY CARE FACILITIES,BARANGAY NUTRITION SCHOLARS,COMMUNITY NUTRITION SERVICES NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|PRIMARY CARE FACILITIES|COMMUNITY HEALTH WORKERS 
BARANGAY HEALTH WORKERS|BARANGAY HEALTH SERVICES NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,PRIMARY CARE FACILITIES,"COMMUNITY HEALTH WORKERS 
BARANGAY HEALTH WORKERS",BARANGAY HEALTH SERVICES NC II,WITH TR,,2,0,0,2,2,1,0,0,,1,0,0,1,1,1,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|WELLNESS FACILITIES|MASSAGE THERAPISTS|HILOT (WELLNESS MASSAGE) NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,WELLNESS FACILITIES,MASSAGE THERAPISTS,HILOT (WELLNESS MASSAGE) NC II,WITH TR,,4,0,0,4,4,5,0,0,,6,1,0,7,7,6,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|WELLNESS FACILITIES|MASSAGE THERAPISTS|MASSAGE THERAPY NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,WELLNESS FACILITIES,MASSAGE THERAPISTS,MASSAGE THERAPY NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICE|2D ANIMATOR|2D ANIMATION NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICE,2D ANIMATOR,2D ANIMATION NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICE|3D ANIMATOR|3D ANIMATION NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICE,3D ANIMATOR,3D ANIMATION NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICE|ANIMATION CHECKER|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICE,ANIMATION CHECKER,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATION|2D ANIMATION NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATION,2D ANIMATION NC III,WITH TR,,6,0,0,6,6,4,0,0,,2,1,0,3,3,2,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATOR|2D ANIMATION NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATOR,2D ANIMATION NC III,WITH TR,,7,1,0,8,8,4,0,0,,2,2,0,4,4,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|ANIMATION ARTIST|ANIMATION NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,ANIMATION ARTIST,ANIMATION NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|CLEAN-UP ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,CLEAN-UP ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENT|CONTACT CENTER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CALL CENTER AGENT,CONTACT CENTER SERVICES NC II,WITH TR,,3,0,0,3,3,3,0,0,,4,0,0,4,4,3,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENTS|CONTACT CENTER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CALL CENTER AGENTS,CONTACT CENTER SERVICES NC II,WITH TR,,5,0,0,5,5,3,0,0,,1,1,0,2,2,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER EXPERIENCE (FINANCE SERVICES)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER EXPERIENCE (FINANCE SERVICES),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER EXPERIENCE (HEALTHCARE)|CUSTOMER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER EXPERIENCE (HEALTHCARE),CUSTOMER SERVICES NC II,WITH TR,,1,0,0,1,1,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SERVICE REPRESENTATIVE|CONTACT CENTER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER SERVICE REPRESENTATIVE,CONTACT CENTER SERVICES NC II,WITH TR,,6,1,0,7,7,3,0,0,,1,2,0,3,3,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SUPPORT|CUSTOMER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER SUPPORT,CUSTOMER SERVICES NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|DATA ANALYTICS|DATA ANALYTICS LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,DATA ANALYTICS,DATA ANALYTICS LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|DIGITAL MARKETING|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,DIGITAL MARKETING,DIGITAL MARKETING LEVEL III,WITH CS,,3,0,0,3,3,0,0,0,,2,0,0,2,2,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|DIGITIAL MARKETING PROFICIENCY|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,DIGITIAL MARKETING PROFICIENCY,DIGITAL MARKETING LEVEL III,WITH CS,,1,0,0,1,1,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|E COMMERCE|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,E COMMERCE,DIGITAL MARKETING LEVEL III,WITH CS,,1,0,0,1,1,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|ENGLISH PROFICIENCY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,ENGLISH PROFICIENCY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|REPORTERS (WHO CAN DO DIGITAL WORKS AND ARE SOCIAL MEDIA ENTHUSIAST)|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,REPORTERS (WHO CAN DO DIGITAL WORKS AND ARE SOCIAL MEDIA ENTHUSIAST),DIGITAL MARKETING LEVEL III,WITH CS,,1,0,0,1,1,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|SALES AND MARKETING|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,SALES AND MARKETING,DIGITAL MARKETING LEVEL III,WITH CS,,2,0,0,2,2,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|SALES/TELEMARKETING PROFICIENT WORKFORCE|CUSTOMER SERVICES NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,SALES/TELEMARKETING PROFICIENT WORKFORCE,CUSTOMER SERVICES NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|SOCIAL MEDIA MARKETING|DIGITAL MARKETING LEVEL III|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,SOCIAL MEDIA MARKETING,DIGITAL MARKETING LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|DATA ANALYST|DATA ANALYTICS LEVEL III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,E-COMMERCE,DATA ANALYST,DATA ANALYTICS LEVEL III,WITH TR,,6,1,0,7,7,3,0,0,,1,2,0,3,3,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|SOCIAL MEDIA MANAGING|CONTENT CREATION (SOCIAL MEDIA) LEVEL III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,E-COMMERCE,SOCIAL MEDIA MANAGING,CONTENT CREATION (SOCIAL MEDIA) LEVEL III,WITH TR,,7,1,0,8,8,3,0,0,,2,2,0,4,4,1,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPENT SERVICES|DEVELOPERS|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPENT SERVICES,DEVELOPERS,WEB DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|2D GAME ARTIST|2D GAME ART DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,2D GAME ARTIST,2D GAME ART DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|3D GAME ARTIST|3D GAME ART DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,3D GAME ARTIST,3D GAME ART DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|APPLICATION DEVELOPER|GAME PROGRAMMING NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,APPLICATION DEVELOPER,GAME PROGRAMMING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|APPLICATION DEVELOPMENT|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,APPLICATION DEVELOPMENT,WEB DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|FRONT END WEB DEVELOPER|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,FRONT END WEB DEVELOPER,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|GAME DEVELOPMENT|GAME PROGRAMMING NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,GAME DEVELOPMENT,GAME PROGRAMMING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|SOFTWARE DEVELOPER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,SOFTWARE DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|GAME DEVELOPMENT SERVICES|WEB DEVELOPER|WEB DEVELOPMENT NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,GAME DEVELOPMENT SERVICES,WEB DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|HEALTH INFORMATION MANAGEMENT SERVICES|CLAIMS PROCESSORS|MEDICAL CODING AND CLAIMS PROCESSING NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,HEALTH INFORMATION MANAGEMENT SERVICES,CLAIMS PROCESSORS,MEDICAL CODING AND CLAIMS PROCESSING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|HEALTH INFORMATION MANAGEMENT SERVICES|MEDICAL CODER|MEDICAL CODING AND CLAIMS PROCESSING NC III|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,HEALTH INFORMATION MANAGEMENT SERVICES,MEDICAL CODER,MEDICAL CODING AND CLAIMS PROCESSING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|HEALTH INFORMATION MANAGEMENT SERVICES|MEDICAL TRANSCRIPTION EDITOR|MEDICAL TRANSCRIPTION NC II|WITH TR,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,HEALTH INFORMATION MANAGEMENT SERVICES,MEDICAL TRANSCRIPTION EDITOR,MEDICAL TRANSCRIPTION NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|AI MARKETING|GENERATIVE ARTIFICIAL INTELLIGENCE (AI)|WITH CS,REGION_VII,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,AI MARKETING,GENERATIVE ARTIFICIAL INTELLIGENCE (AI),WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
