Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,SOC,AIOE,Complementarity
Cocoon Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,45-2021,-1.1525280355196172,0.5588888888888889
Coffee Farmer Nursery Operator,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,45-2091,-1.25411250441255,0.49638888888888894
Cold Storage Technician,Manufacturing,Installation of industrial machinery and equipment,Higher Education,No,No,51-9193,-1.0681009385814242,0.5850000000000001
Commercial Air-Conditioning Unit Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,49-9021 ,-1.0085507507672364,0.686111111111111
Commercial Diver,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Not Higher Education,No,No,53-5021,-0.8093223179968441,0.7611111111111111
Commercial Refrigeration Equipment Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,49-9021 ,-1.0085507507672364,0.686111111111111
Commis Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Commis Helper,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,35-9099 ,-0.7211067382646418,0.5396732026143791
Communications and Advocacy Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,27-3031 ,1.1520491300591629,0.6141666666666666
Communications Consultant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,27-3043 ,0.697709572118294,0.4580555555555555
Communications Designer,"Professional, Scientific and Technical Activities",Specialized design activities,Higher Education,No,No,15-1134 ,1.388784111523391,0.6150427350427351
Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,49-9052,-1.1924358138797408,0.6463888888888889
Community Birth Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,39-9011,-0.620764093503558,0.6199999999999999
Community Development Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,21-1093,0.7040484605627692,0.6691666666666666
Community Governance Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Community Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,21-1094 ,-0.0632242294411926,0.6677777777777778
Community Infectious Disease Management Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,29-1229,0.0732997423048482,0.8161111111111111
Community Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,39-3099 ,-0.620764093503558,0.6422222222222221
Community Ministry Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,21-2099,0.7040484605627692,0.6655492424242423
Community Mobilization Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,21-1093,0.7040484605627692,0.6691666666666666
Community Nutrition Services Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,21-1094 ,-0.0632242294411926,0.6677777777777778
Community Outreach Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,21-1094 ,-0.0632242294411926,0.6677777777777778
Community Participation Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,21-1093,0.7040484605627692,0.6691666666666666
Community Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,29-1051,0.5220524179890909,0.7186111111111111
Community Relations Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,27-3031 ,1.1520491300591629,0.6141666666666666
Community Relations Officer,Construction,Construction of buildings,Higher Education,No,No,27-3031 ,1.1520491300591629,0.6141666666666666
Community-Based Health Care Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,21-1094 ,-0.0632242294411926,0.6677777777777778
Company Driver (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,53-3053,-0.662541928995153,0.6258333333333334
Compliance and Regulatory Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,13-1199,0.437657911612694,0.6741666666666667
Compliance Officer,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,13-1199,0.437657911612694,0.6741666666666667
Computer Assembler,Manufacturing,Manufacture of computers and peripheral equipment and accessories,Not Higher Education,No,No,51-9194,-0.7447411756253555,0.5002777777777777
Computer Maintenance Technologist (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,15-1151 ,1.388784111523391,0.6150427350427351
Computer Security Support Staff,Information and Communication,Other information service activities,Not Higher Education,No,No,15-1299,1.388784111523391,0.6486111111111111
Computer Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,49-9052,-1.1924358138797408,0.6463888888888889
Computer Transcriptionist,Information and Communication,Other information service activities,Higher Education,No,No,43-9199 ,0.9380611170416764,0.519646686159844
Concept Art Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,27-1024,0.6558359528610636,0.563888888888889
Concierge Assistant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,37-2011,-1.5455201611166942,0.5955555555555555
Concrete Pump Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,47-5022,-1.2533360568016358,0.6227777777777778
Conductor,Transportation and Storage,Other land transport,Not Higher Education,No,No,53-6061,-0.4785625981014229,0.5061111111111111
Confectioner,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,51-3011,-0.48867104164824,0.5247222222222222
Conservation Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,19-2041 ,1.317259559340737,0.6222222222222222
Conservation Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,25-9021,0.7243196041937822,0.706111111111111
Construction Laborer,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Not Higher Education,No,No,47-3019,-1.2533360568016358,0.6453038194444444
Construction Lift Passenger/ Material Elevator Operator,Construction,Construction of utility projects,Not Higher Education,No,No,53-7041,-1.0859917292821646,0.6422222222222221
Construction Painter,Construction,Building completion and finishing,Not Higher Education,No,No,47-2142,-1.8408306399292644,0.5416666666666666
Construction Scheduler,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,11-9021,0.5235649551415154,0.7419444444444444
Construction Site Assistant (Foreman),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,11-9021,0.5235649551415154,0.7419444444444444
Construction Site Technician,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,17-2051 ,1.2938017753796889,0.6349999999999999
Consular Affairs Associate,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,33-3051,-0.2015633544863827,0.6658333333333333
Consumer Electronics Assembler,Manufacturing,Manufacture of consumer electronics,Not Higher Education,No,No,51-9194,-0.7447411756253555,0.5002777777777777
Contact Center (Call Center) Agent,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,43-4171 ,0.9380611170416764,0.47138888888888886
Container Stacker Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,53-7041,-1.0859917292821646,0.6422222222222221
Content Editor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,27-3041 ,1.0358423916827189,0.6130555555555556
Content Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,27-3043,0.697709572118294,0.4580555555555555
Control Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,17-3023,0.1471846227656904,0.6161111111111112
Cook,Accommodation and Food Service Activities,Event catering and other food service activities,Not Higher Education,No,No,35-2019,-0.7211067382646418,0.5396732026143791
Cook (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,35-2019,-0.7211067382646418,0.5396732026143791
Cooling Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,No,Yes,17-3023,0.1471846227656904,0.6161111111111112
Co-op Administrative Support,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,43-601,0.9380611170416764,0.519646686159844
Cooperative Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Cooperative Development Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,No,13-1151 ,1.125301054038325,0.6319444444444445
Corporate Auditor,Financial and Insurance Activities,Activities of holding companies,Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Corporate Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,27-3031 ,1.1520491300591629,0.6141666666666666
Cost Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Cost Controller,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,43-3031,0.946928146277296,0.5122222222222222
Courier,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,43-9051,-0.9250415251550858,0.5691666666666667
Courier Scheduler,Transportation and Storage,Courier activities,Higher Education,No,Yes,43-5032,1.096197891448219,0.6255555555555555
