,SOC,AIOE
34008,27-1012,-0.8672596469857901
34112,27-1013,-0.5800703514608596
34216,27-1014,0.6882188383865873
34320,27-1021,0.8485385689664844
34424,27-1022,0.4452566469222545
34528,27-1023,-0.2844181696037544
34632,27-1024,0.733024170282144
34736,27-1025,1.1209287864398538
34840,27-1026,-1.0101932753298246
34944,27-1027,0.40509408210418385
35048,27-2011,0.14417600568659958
35256,27-2012,1.0086090474935576
35568,27-2021,-1.8189307569163846
35672,27-2022,0.10223463082164654
35776,27-2023,-0.06480970966152898
35880,27-2031,-2.6701428017644795
35984,27-2032,-1.6025485585216013
36088,27-2041,0.35595643395775606
36192,27-2042,-0.04811371078095986
36296,27-3011,0.9692603972872547
36400,27-3023,0.9511596752454363
36504,27-3031,1.2230614224333591
36608,27-3041,1.1083010062005718
36712,27-3042,1.1637738228619894
36920,27-3043,0.7743766257616718
37024,27-3091,1.0640015601650763
37128,27-3092,0.6459160986925293
37232,27-4011,-0.025682496000682183
37336,27-4012,0.10762703734446687
37440,27-4014,0.36174530998202664
37544,27-4021,-0.20912130039539864
37648,27-4031,-0.4586414696663248
37752,27-4032,0.9134893505999866
37856,29-1011,-0.2042077251824785
37960,29-1021,-0.19435775109110642
38064,29-1022,-0.25167657920108627
38168,29-1023,0.15313563952152942
38272,29-1024,-0.1677951144025535
38376,29-1031,1.3739495407622582
38480,29-1041,0.5783359562603659
38584,29-1051,0.6009057203410911
38688,29-1071,0.277462203175206
38896,29-1081,0.5356142351686596
39000,29-1122,0.4053506876033892
39208,29-1123,-0.3911765836436706
39312,29-1124,-0.23180653691998032
39416,29-1125,-0.2897625517693162
39520,29-1126,-0.20107530057021888
39624,29-1127,1.3000765490955595
39728,29-1128,-0.03734402783290348
39832,29-1129,0.17126073523647545
40040,29-1131,-0.051207005574993976
40560,29-1141,0.37192286193769813
40664,29-1151,0.20684500958175797
40768,29-1161,0.16641904335289978
40872,29-1171,0.27009032077777073
40976,29-1181,0.7001210177816167
41080,29-1211,0.21977442741149528
41184,29-1213,0.51272680113844
41288,29-1214,0.13037467211972337
41392,29-1215,0.966529425228258
41496,29-1216,0.9036057386723553
41600,29-1217,1.3348366189192027
41704,29-1218,0.2663958058397403
41808,29-1221,1.0459483249924797
41912,29-1222,0.9519831834016046
42016,29-1223,1.2600385152846145
42120,29-1224,0.6713750120408111
42432,29-1229,0.20593176813168124
42848,29-1241,0.25223496005499135
42952,29-1291,0.04694869205692435
43056,29-1292,-0.5012729850492305
43176,29-1299,1.1999930042530853
43368,29-2011,0.26013973946933305
43888,29-2012,-0.3935851657204582
43992,29-2031,-0.10445573094177776
44096,29-2032,-0.2766646623708091
44200,29-2033,0.07111077620944013
44304,29-2034,-0.3109225941414097
44408,29-2035,-0.12070787526236718
44512,29-2036,0.8591388025958727
44616,29-2051,-0.1388425746683795
44720,29-2052,-0.01771275985038121
44824,29-2053,-0.2523705728614958
44928,29-2055,-0.49449902459290707
45032,29-2056,-0.37496864884439873
